,botanist_name,botanist_email,botanist_phone_number,plant_id,scientific_name,plant_name,plant_cycle,last_watered,plant_origin,recording_time,soil_moisture,sun_condition,shade_condition,temperature,plant_latitude,plant_longitude,plant_location
13,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,14,colocasia esculenta,colocasia esculenta,perennial,2023-08-30 14:17:54,"{'origin_latitude': '29.65163', 'origin_longitude': '-82.32483', 'origin_country': 'America/New_York'}",2023-08-31 09:28:18,35.06636116650988,no information,part shade,13.134255664698744,29.65163,-82.32483,america/new_york
14,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,15,,cuphea david verity,,2023-08-30 13:45:31,"{'origin_latitude': '36.08497', 'origin_longitude': '9.37082', 'origin_country': 'Africa/Tunis'}",2023-08-31 09:28:19,30.422815130392152,no information,no information,9.979105314979195,36.08497,9.37082,africa/tunis
15,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,18,,manihot esculenta variegata,,2023-08-30 14:29:39,"{'origin_latitude': '51.30001', 'origin_longitude': '13.10984', 'origin_country': 'Europe/Berlin'}",2023-08-31 09:28:21,33.66742115533981,no information,no information,9.03027570831273,51.30001,13.10984,europe/berlin
16,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,19,musa basjoo,musa basjoo,herbaceous perennial,2023-08-30 13:24:30,"{'origin_latitude': '-21.44236', 'origin_longitude': '27.46153', 'origin_country': 'Africa/Gaborone'}",2023-08-31 09:28:22,32.682011899347614,full sun,no information,13.85980269327468,-21.44236,27.46153,africa/gaborone
17,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,20,salvia splendens,salvia splendens,herbaceous perennial,2023-08-30 14:49:34,"{'origin_latitude': '41.15612', 'origin_longitude': '1.10687', 'origin_country': 'Europe/Madrid'}",2023-08-31 09:28:23,34.37963148973607,full sun,part shade,8.598606264207842,41.15612,1.10687,europe/madrid
18,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,21,anthurium andraeanum,anthurium,herbaceous perennial,2023-08-30 14:23:59,"{'origin_latitude': '-29.2975', 'origin_longitude': '-51.50361', 'origin_country': 'America/Sao_Paulo'}",2023-08-31 09:28:24,34.79034973599241,part sun,part shade,11.01758741575251,-29.2975,-51.50361,america/sao_paulo
19,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,22,heliconia schiedeana 'fire and ice',bird of paradise,herbaceous perennial,2023-08-30 13:03:26,"{'origin_latitude': '48.35693', 'origin_longitude': '10.98461', 'origin_country': 'Europe/Berlin'}",2023-08-31 09:28:25,28.36328764327486,full sun,part shade,9.546559647760375,48.35693,10.98461,europe/berlin
20,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,24,ficus carica,ficus,perennial,2023-08-30 14:44:00,"{'origin_latitude': '43.82634', 'origin_longitude': '144.09638', 'origin_country': 'Asia/Tokyo'}",2023-08-31 09:28:25,32.86987918905473,no information,part shade,13.05714952688577,43.82634,144.09638,asia/tokyo
21,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,25,,palm trees,,2023-08-30 13:58:41,"{'origin_latitude': '11.8659', 'origin_longitude': '34.3869', 'origin_country': 'Africa/Khartoum'}",2023-08-31 09:28:26,33.849236873704044,no information,no information,11.58921552119497,11.8659,34.3869,africa/khartoum
22,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,26,dieffenbachia seguine,dieffenbachia seguine,herbaceous perennial,2023-08-30 14:23:18,"{'origin_latitude': '36.06386', 'origin_longitude': '4.62744', 'origin_country': 'Africa/Algiers'}",2023-08-31 09:28:27,36.78987765777369,part sun,no information,14.151611555425529,36.06386,4.62744,africa/algiers
23,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,27,spathiphyllum (group),spathiphyllum,herbaceous perennial,2023-08-30 14:58:20,"{'origin_latitude': '51.67822', 'origin_longitude': '33.9162', 'origin_country': 'Europe/Kiev'}",2023-08-31 09:28:28,36.50298228026693,no information,no information,10.75651387827514,51.67822,33.9162,europe/kiev
24,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,28,codiaeum variegatum,croton,perennial,2023-08-30 14:37:02,"{'origin_latitude': '43.91452', 'origin_longitude': '-69.96533', 'origin_country': 'America/New_York'}",2023-08-31 09:28:29,32.180021984015994,full sun,part shade,12.409394835153654,43.91452,-69.96533,america/new_york
25,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,29,aloe vera,aloe vera,herbaceous perennial,2023-08-30 13:11:24,"{'origin_latitude': '34.75856', 'origin_longitude': '136.13108', 'origin_country': 'Asia/Tokyo'}",2023-08-31 09:28:29,31.687592529466798,full sun,no information,10.835045201111896,34.75856,136.13108,asia/tokyo
26,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,30,ficus elastica,ficus elastica,perennial,2023-08-30 13:55:19,"{'origin_latitude': '30.75545', 'origin_longitude': '20.22625', 'origin_country': 'Africa/Tripoli'}",2023-08-31 09:28:31,35.18178728453039,no information,part shade,14.508674907366775,30.75545,20.22625,africa/tripoli
27,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,31,sansevieria trifasciata,sansevieria trifasciata,herbaceous perennial,2023-08-30 13:05:43,"{'origin_latitude': '23.29549', 'origin_longitude': '113.82465', 'origin_country': 'Asia/Shanghai'}",2023-08-31 09:28:33,29.45175084903846,no information,part shade,13.359267578318663,23.29549,113.82465,asia/shanghai
28,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,32,philodendron hederaceum,philodendron hederaceum,perennial,2023-08-30 14:29:54,"{'origin_latitude': '52.47774', 'origin_longitude': '10.5511', 'origin_country': 'Europe/Berlin'}",2023-08-31 09:28:33,32.08778057256461,no information,no information,10.606530000715583,52.47774,10.5511,europe/berlin
29,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,33,schefflera arboricola,schefflera arboricola,perennial,2023-08-30 14:05:58,"{'origin_latitude': '28.92694', 'origin_longitude': '78.23456', 'origin_country': 'Asia/Kolkata'}",2023-08-31 09:28:33,32.275740688349515,part sun,part shade,13.547056554324659,28.92694,78.23456,asia/kolkata
30,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,34,aglaonema commutatum,aglaonema commutatum,herbaceous perennial,2023-08-30 13:44:15,"{'origin_latitude': '41.15612', 'origin_longitude': '1.10687', 'origin_country': 'Europe/Madrid'}",2023-08-31 09:28:34,30.741365180311888,no information,no information,13.408921938805426,41.15612,1.10687,europe/madrid
31,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,35,monstera deliciosa,monstera deliciosa,perennial,2023-08-30 13:32:46,"{'origin_latitude': '-32.45242', 'origin_longitude': '-71.23106', 'origin_country': 'America/Santiago'}",2023-08-31 09:28:35,29.171579272458047,no information,part shade,12.924827401271118,-32.45242,-71.23106,america/santiago
32,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,36,tacca integrifolia,tacca integrifolia,herbaceous perennial,2023-08-30 14:09:55,"{'origin_latitude': '32.54044', 'origin_longitude': '-82.90375', 'origin_country': 'America/New_York'}",2023-08-31 09:28:36,34.66043348778196,no information,no information,12.304673919260727,32.54044,-82.90375,america/new_york
33,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,37,,psychopsis papilio,,2023-08-30 14:23:43,"{'origin_latitude': '30.21121', 'origin_longitude': '74.4818', 'origin_country': 'Asia/Kolkata'}",2023-08-31 09:28:37,34.577018112380955,no information,no information,11.08559798432129,30.21121,74.4818,asia/kolkata
34,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,38,saintpaulia ionantha,saintpaulia ionantha,herbaceous perennial,2023-08-30 13:46:06,"{'origin_latitude': '-6.8', 'origin_longitude': '39.25', 'origin_country': 'Africa/Dar_es_Salaam'}",2023-08-31 09:28:37,33.9981548427907,part sun,part shade,11.06904349575393,-6.8,39.25,africa/dar_es_salaam
35,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,39,gaillardia aestivalis,gaillardia,herbaceous perennial,2023-08-30 14:18:23,"{'origin_latitude': '36.24624', 'origin_longitude': '139.07204', 'origin_country': 'Asia/Tokyo'}",2023-08-31 09:28:38,31.32765576517413,full sun,no information,13.398035903358846,36.24624,139.07204,asia/tokyo
36,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,40,hippeastrum (group),amaryllis,perennial,2023-08-30 14:05:38,"{'origin_latitude': '44.92801', 'origin_longitude': '4.8951', 'origin_country': 'Europe/Paris'}",2023-08-31 09:28:38,35.50748845933457,no information,part shade,9.084606877225214,44.92801,4.8951,europe/paris
37,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,41,caladium bicolor,caladium bicolor,perennial,2023-08-30 13:45:13,"{'origin_latitude': '22.4711', 'origin_longitude': '88.1453', 'origin_country': 'Asia/Kolkata'}",2023-08-31 09:28:39,33.76215075746268,part sun,part shade,11.753675544216382,22.4711,88.1453,asia/kolkata
38,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,42,chlorophytum comosum 'vittatum',chlorophytum comosum,herbaceous perennial,2023-08-30 14:49:43,"{'origin_latitude': '41.57439', 'origin_longitude': '24.71204', 'origin_country': 'Europe/Sofia'}",2023-08-31 09:28:40,35.19513138996139,no information,no information,9.861164350629082,41.57439,24.71204,europe/sofia
39,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,44,araucaria heterophylla,araucaria heterophylla,perennial,2023-08-30 13:32:40,"{'origin_latitude': '20.22816', 'origin_longitude': '-103.5687', 'origin_country': 'America/Mexico_City'}",2023-08-31 09:28:41,31.59069323260249,no information,part shade,9.568154892266278,20.22816,-103.5687,america/mexico_city
40,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,45,begonia 'art hodes',begonia,herbaceous perennial,2023-08-30 14:04:23,"{'origin_latitude': '33.95015', 'origin_longitude': '-118.03917', 'origin_country': 'America/Los_Angeles'}",2023-08-31 09:28:41,32.4382479951644,full sun,part shade,9.00351419778693,33.95015,-118.03917,america/los_angeles
41,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,46,medinilla magnifica,medinilla magnifica,perennial,2023-08-30 14:12:39,"{'origin_latitude': '-13.7804', 'origin_longitude': '34.4587', 'origin_country': 'Africa/Blantyre'}",2023-08-31 09:28:42,36.12924289318601,part sun,part shade,13.317629023576766,-13.7804,34.4587,africa/blantyre
42,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,47,calliandra haematocephala,calliandra haematocephala,perennial,2023-08-30 13:30:18,"{'origin_latitude': '37.49223', 'origin_longitude': '15.07041', 'origin_country': 'Europe/Rome'}",2023-08-31 09:28:43,-2.721617741428574,full sun,no information,17.64835454447696,37.49223,15.07041,europe/rome
43,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,48,zamioculcas zamiifolia,zamioculcas zamiifolia,herbaceous perennial,2023-08-30 14:31:09,"{'origin_latitude': '14.14989', 'origin_longitude': '121.3152', 'origin_country': 'Asia/Manila'}",2023-08-31 09:28:44,33.34453258007812,part sun,part shade,14.892824932180993,14.14989,121.3152,asia/manila
44,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,49,crassula ovata,crassula ovata,perennial,2023-08-30 14:02:15,"{'origin_latitude': '17.94979', 'origin_longitude': '-94.91386', 'origin_country': 'America/Mexico_City'}",2023-08-31 09:28:45,31.981988607385816,full sun,no information,9.388713862795441,17.94979,-94.91386,america/mexico_city
45,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,50,epipremnum aureum,epipremnum aureum,perennial,2023-08-30 14:03:04,"{'origin_latitude': '-19.32556', 'origin_longitude': '-41.25528', 'origin_country': 'America/Sao_Paulo'}",2023-08-31 09:28:46,32.29183711713455,part sun,part shade,13.16677509782773,-19.32556,-41.25528,america/sao_paulo
